data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10000,10GBps,case1_real,6,0.018230,7.361781,54.854828,0.888672,0.930769,0.871154,3,166.994893,35.131344,1311.375513,357.712865,173
10000,10GBps,case1_real,7,0.020452,7.353059,48.894496,4.738679,0.932671,0.822369,3,118.278677,16.302097,805.515955,239.319475,173
10000,10GBps,case1_real,8,0.022539,7.351639,44.367716,2.091793,0.980874,0.965847,3,110.190927,60.683064,568.838040,145.554904,174
10000,10GBps,case1_real,9,0.020456,7.350876,48.885992,5.061309,0.816752,0.852284,3,105.979859,26.233290,756.320685,311.332507,173
10000,10GBps,case1_real,10,0.022548,7.347291,44.350683,2.406444,0.854167,0.983025,3,86.211879,32.081466,473.662164,57.218904,173
10000,10GBps,case1_real,11,0.022544,7.349016,44.357412,6.251887,0.970833,0.966667,3,95.915440,56.157423,512.476406,164.945900,173
10000,10GBps,case1_real,12,0.020754,7.350342,48.182570,5.124785,0.971939,0.889213,4,101.719219,27.813245,728.119877,343.216165,175
10000,10GBps,case1_real,13,0.022911,7.346818,43.647500,2.469921,1.000000,0.987269,4,82.051152,30.740746,447.505990,102.301548,176
10000,10GBps,case1_real,14,0.022550,7.346079,44.345911,6.316520,0.977564,0.977564,4,78.399072,29.526236,440.938765,95.396075,175
10000,10GBps,case1_real,15,0.022554,7.343836,44.337167,6.639149,0.890625,1.000000,4,65.897955,17.300829,390.934298,112.912840,175
10000,10GBps,case1_real,16,0.022918,7.343302,43.633745,6.702626,1.000000,1.000000,5,62.138360,8.403245,367.180803,124.850033,177
10000,10GBps,case2_homo,1,0.017445,7.382988,57.324131,0.449219,1.000000,1.000000,1,291.448988,35.431460,2331.591903,283.451679,170
10000,10GBps,case2_homo,2,0.017469,7.372755,57.244585,0.512695,1.000000,1.000000,2,230.189855,36.009302,1841.518843,288.074413,172
10000,10GBps,case2_homo,3,0.017494,7.362255,57.162870,0.825195,1.000000,1.000000,2,171.717947,24.237998,1373.743574,193.903986,171
10000,10GBps,case2_homo,4,0.017508,7.356116,57.115595,4.674047,1.000000,1.000000,2,136.370608,33.188427,1090.964866,265.507417,172
10000,10GBps,case2_homo,5,0.017508,7.356137,57.116552,2.028049,1.000000,1.000000,2,137.876329,90.421704,1103.010634,723.373630,171
10000,10GBps,case2_homo,6,0.017495,7.361781,57.159081,0.888672,1.000000,1.000000,3,166.994893,35.131344,1335.959147,281.050748,173
10000,10GBps,case2_homo,7,0.017516,7.353059,57.091633,4.738679,1.000000,1.000000,3,118.278677,16.302097,946.229413,130.416773,173
10000,10GBps,case2_homo,8,0.017519,7.351639,57.081307,2.091793,1.000000,1.000000,3,110.190927,60.683064,881.527416,485.464514,174
10000,10GBps,case2_homo,9,0.017521,7.350876,57.074625,5.061309,1.000000,1.000000,3,105.979859,26.233290,847.838873,209.866320,173
10000,10GBps,case2_homo,10,0.017529,7.347291,57.047240,2.406444,1.000000,1.000000,3,86.211879,32.081466,689.695035,256.651730,173
10000,10GBps,case2_homo,11,0.017525,7.349016,57.060699,6.251887,1.000000,1.000000,3,95.915440,56.157423,767.323520,449.259382,173
10000,10GBps,case2_homo,12,0.017522,7.350342,57.070356,5.124785,1.000000,1.000000,4,101.719219,27.813245,813.753750,222.505960,175
10000,10GBps,case2_homo,13,0.017530,7.346818,57.043451,2.469921,1.000000,1.000000,4,82.051152,30.740746,656.409218,245.925966,176
10000,10GBps,case2_homo,14,0.017532,7.346079,57.037698,6.316520,1.000000,1.000000,4,78.399072,29.526236,627.192574,236.209890,175
10000,10GBps,case2_homo,15,0.017538,7.343836,57.020209,6.639149,1.000000,1.000000,4,65.897955,17.300829,527.183639,138.406634,175
10000,10GBps,case2_homo,16,0.017539,7.343302,57.015940,6.702626,1.000000,1.000000,5,62.138360,8.403245,497.106882,67.225963,177
10000,10GBps,case3_hetero,1,0.002181,7.382988,458.593045,0.449219,0.264040,0.297781,1,291.448988,35.431460,18652.735221,2267.613433,170
10000,10GBps,case3_hetero,2,0.002198,7.372755,454.945442,0.512695,0.632755,0.649521,2,230.189855,36.009302,14666.805087,2638.913814,172
10000,10GBps,case3_hetero,3,0.002308,7.362255,433.228266,0.825195,0.638221,0.640865,2,171.717947,24.237998,10553.133902,2855.222041,171
10000,10GBps,case3_hetero,4,0.004816,7.356137,207.656181,2.028049,0.784274,0.812248,2,137.876329,90.421704,6771.525384,7594.309079,171
10000,10GBps,case3_hetero,5,0.005812,7.356116,172.043241,4.674047,0.566964,0.575949,2,136.370608,33.188427,4047.045535,4904.775946,172
10000,10GBps,case3_hetero,6,0.002308,7.361781,433.226371,0.888672,0.758814,0.768910,3,166.994893,35.131344,10420.180854,3091.502998,173
10000,10GBps,case3_hetero,7,0.004893,7.351639,204.359380,2.091793,0.858948,0.877561,3,110.190927,60.683064,4949.764385,5676.750988,174
